Size,AvgTime,AvgComparisons
1000,0.000030876,10332
2500,0.000082358,30887
5000,0.000167686,66740
10000,0.000328860,143489
25000,0.000869432,359760
50000,0.001786926,769372
100000,0.003676940,1639052
250000,0.009207879,4554238
500000,0.018430666,9608560
1000000,0.037631403,20217443
2500000,0.093348967,55555032
5000000,0.190396998,116115079
10000000,0.387684862,242218015
