Size,AvgTime,AvgComparisons
1000,0.000027118,10300
2500,0.000073153,30838
5000,0.000158891,66816
10000,0.000320858,143508
25000,0.000879615,359765
50000,0.001809304,769545
100000,0.003783124,1638948
250000,0.009376782,4554660
500000,0.019174166,9608218
1000000,0.039000918,20216950
2500000,0.096603323,55558029
5000000,0.196303007,116110736
10000000,0.402829669,242219724
