Size,AvgTime,AvgComparisons
1000,0.000058856,8709
2500,0.000151071,25117
5000,0.000304199,55226
10000,0.000623962,120454
25000,0.001593599,334051
50000,0.003221570,718129
100000,0.006818296,1536168
250000,0.016916715,4167808
500000,0.034056373,8835490
1000000,0.068594269,18670403
2500000,0.174181002,50014945
5000000,0.351055686,105026669
10000000,0.708669884,220047968
