S,Size,AvgTime,AvgComparisons
2,25000,0.001538176,334060
3,25000,0.001187664,333977
4,25000,0.001240361,334092
5,25000,0.001114276,334092
6,25000,0.001063985,338627
7,25000,0.001019569,339456
8,25000,0.000961264,339456
9,25000,0.001045124,339456
10,25000,0.000970672,339456
11,25000,0.000967581,339456
12,25000,0.000884484,355052
13,25000,0.000845503,359833
14,25000,0.000842404,359833
15,25000,0.000849585,359833
16,25000,0.000888016,359833
17,25000,0.000833882,359833
18,25000,0.000838114,359833
19,25000,0.000834876,359833
20,25000,0.000864716,359833
21,25000,0.000883905,359833
22,25000,0.000906068,359833
23,25000,0.000930008,359833
24,25000,0.000913266,391187
25,25000,0.000787410,415498
26,25000,0.000874681,415498
27,25000,0.000865750,415498
28,25000,0.000883929,415498
29,25000,0.000806734,415498
30,25000,0.000779458,415498
31,25000,0.000787986,415498
32,25000,0.000808204,415498
33,25000,0.000869621,415498
34,25000,0.000817202,415498
35,25000,0.000787526,415498
36,25000,0.000780770,415498
37,25000,0.000831981,415498
38,25000,0.000845036,415498
39,25000,0.000853487,415498
40,25000,0.000841976,415498
41,25000,0.000824188,415498
42,25000,0.000869116,415498
43,25000,0.000804412,415498
44,25000,0.000790060,415498
45,25000,0.000795510,415498
46,25000,0.000840114,415498
47,25000,0.000803486,415498
48,25000,0.000820244,437159
49,25000,0.000838534,545044
50,25000,0.000852724,545044
51,25000,0.000835920,545044
52,25000,0.000843381,545044
53,25000,0.000955998,545044
54,25000,0.001018350,545044
55,25000,0.000848712,545044
56,25000,0.000906900,545044
57,25000,0.000840146,545044
58,25000,0.000868164,545044
59,25000,0.000862615,545044
60,25000,0.000890406,545044
61,25000,0.000899138,545044
62,25000,0.000892342,545044
63,25000,0.000855448,545044
64,25000,0.000916198,545044
65,25000,0.000894288,545044
66,25000,0.000873701,545044
67,25000,0.000884990,545044
68,25000,0.000897113,545044
69,25000,0.000877838,545044
70,25000,0.000876875,545044
71,25000,0.000842510,545044
72,25000,0.000870577,545044
73,25000,0.000873172,545044
74,25000,0.000899214,545044
75,25000,0.000880907,545044
76,25000,0.000894613,545044
77,25000,0.000853474,545044
78,25000,0.000851331,545044
79,25000,0.000890935,545044
80,25000,0.000910551,545044
81,25000,0.000881046,545044
82,25000,0.000872918,545044
83,25000,0.000877737,545044
84,25000,0.000907968,545044
85,25000,0.000894559,545044
86,25000,0.000866115,545044
87,25000,0.000869353,545044
88,25000,0.000870014,545044
89,25000,0.000882423,545044
90,25000,0.000943291,545044
91,25000,0.000851259,545044
92,25000,0.000974208,545044
93,25000,0.000994316,545044
94,25000,0.000842863,545044
95,25000,0.000916304,545044
96,25000,0.000880568,545044
97,25000,0.000998549,640659
98,25000,0.000949131,825707
99,25000,0.000981301,825707
100,25000,0.000936138,825707
101,25000,0.000976840,825707
102,25000,0.001014610,825707
103,25000,0.001009589,825707
104,25000,0.001022110,825707
105,25000,0.000956872,825707
106,25000,0.001043674,825707
107,25000,0.000987815,825707
108,25000,0.000958346,825707
109,25000,0.000972631,825707
110,25000,0.000990129,825707
111,25000,0.000929376,825707
112,25000,0.001027763,825707
113,25000,0.000997472,825707
114,25000,0.000917382,825707
115,25000,0.000980535,825707
116,25000,0.000921256,825707
117,25000,0.000941826,825707
118,25000,0.000981354,825707
119,25000,0.000921465,825707
120,25000,0.000982750,825707
121,25000,0.000924828,825707
122,25000,0.000989556,825707
123,25000,0.000915573,825707
124,25000,0.001021682,825707
125,25000,0.001040077,825707
126,25000,0.000986539,825707
127,25000,0.000987859,825707
128,25000,0.000973935,825707
129,25000,0.000957765,825707
130,25000,0.000956158,825707
131,25000,0.000938108,825707
132,25000,0.000942349,825707
133,25000,0.000997965,825707
134,25000,0.001016172,825707
135,25000,0.000934701,825707
136,25000,0.000964437,825707
137,25000,0.000920804,825707
138,25000,0.001011516,825707
139,25000,0.000964207,825707
140,25000,0.000923878,825707
141,25000,0.000969355,825707
142,25000,0.000959068,825707
143,25000,0.000937575,825707
144,25000,0.001022143,825707
145,25000,0.000923516,825707
146,25000,0.000985886,825707
147,25000,0.000920867,825707
148,25000,0.000939714,825707
149,25000,0.000942652,825707
150,25000,0.000976955,825707
