S,Size,AvgTime,AvgComparisons
2,500000,0.027423995,8835352
3,500000,0.026607298,8835360
4,500000,0.023079851,8861710
5,500000,0.022950198,8861710
6,500000,0.023062276,8861710
7,500000,0.022162882,8907878
8,500000,0.020519211,9033649
9,500000,0.020499969,9033649
10,500000,0.020437507,9033649
11,500000,0.020421171,9033649
12,500000,0.020488937,9033649
13,500000,0.020433641,9033649
14,500000,0.020443353,9033649
15,500000,0.019468671,9440689
16,500000,0.017907148,9608529
17,500000,0.018031510,9608529
18,500000,0.017947588,9608529
19,500000,0.018057028,9608529
20,500000,0.017949208,9608529
21,500000,0.018102024,9608529
22,500000,0.017995886,9608529
23,500000,0.017952210,9608529
24,500000,0.017963114,9608529
25,500000,0.018495164,9608529
26,500000,0.018206734,9608529
27,500000,0.018056500,9608529
28,500000,0.017902348,9608529
29,500000,0.017912586,9608529
30,500000,0.017550440,10295274
31,500000,0.016980146,11086436
32,500000,0.016940049,11086436
33,500000,0.016947591,11086436
34,500000,0.016909533,11086436
35,500000,0.016904343,11086436
36,500000,0.016879321,11086436
37,500000,0.016884085,11086436
38,500000,0.016888623,11086436
39,500000,0.016903203,11086436
40,500000,0.016882749,11086436
41,500000,0.016943385,11086436
42,500000,0.016946633,11086436
43,500000,0.016894867,11086436
44,500000,0.016882803,11086436
45,500000,0.017024895,11086436
46,500000,0.016957377,11086436
47,500000,0.016999659,11086436
48,500000,0.016902989,11086436
49,500000,0.016928556,11086436
50,500000,0.016967152,11086436
51,500000,0.016904081,11086436
52,500000,0.016878989,11086436
53,500000,0.016883765,11086436
54,500000,0.016875275,11086436
55,500000,0.017087173,11086436
56,500000,0.017047307,11086436
57,500000,0.016976709,11086436
58,500000,0.016904913,11086436
59,500000,0.016920505,11086436
60,500000,0.016902839,11086436
61,500000,0.019088186,14317124
62,500000,0.018975632,14439220
63,500000,0.018983130,14439220
64,500000,0.018979558,14439220
65,500000,0.018967982,14439220
66,500000,0.018955168,14439220
67,500000,0.018996201,14439220
68,500000,0.018963689,14439220
69,500000,0.019051248,14439220
70,500000,0.019070591,14439220
71,500000,0.018960314,14439220
72,500000,0.019097314,14439220
73,500000,0.018976690,14439220
74,500000,0.018941304,14439220
75,500000,0.019019790,14439220
76,500000,0.019340339,14439220
77,500000,0.019089982,14439220
78,500000,0.018956720,14439220
79,500000,0.018989266,14439220
80,500000,0.018978556,14439220
81,500000,0.019058164,14439220
82,500000,0.018967462,14439220
83,500000,0.018952242,14439220
84,500000,0.019186285,14439220
85,500000,0.018981884,14439220
86,500000,0.018974897,14439220
87,500000,0.019028988,14439220
88,500000,0.019000955,14439220
89,500000,0.018959227,14439220
90,500000,0.018993014,14439220
91,500000,0.019097016,14439220
92,500000,0.018972551,14439220
93,500000,0.018980614,14439220
94,500000,0.018953562,14439220
95,500000,0.018962932,14439220
96,500000,0.018978575,14439220
97,500000,0.018981812,14439220
98,500000,0.018941695,14439220
99,500000,0.019014801,14439220
100,500000,0.018993672,14439220
101,500000,0.018944956,14439220
102,500000,0.019145371,14439220
103,500000,0.018978115,14439220
104,500000,0.018970476,14439220
105,500000,0.019157630,14439220
106,500000,0.018994686,14439220
107,500000,0.018933168,14439220
108,500000,0.018994844,14439220
109,500000,0.019016894,14439220
110,500000,0.019258139,14439220
111,500000,0.019075698,14439220
112,500000,0.018960724,14439220
113,500000,0.019013418,14439220
114,500000,0.018975694,14439220
115,500000,0.018969832,14439220
116,500000,0.018996718,14439220
117,500000,0.018965551,14439220
118,500000,0.018976948,14439220
119,500000,0.019033714,14439220
120,500000,0.018989180,14439220
121,500000,0.018946330,14439220
122,500000,0.020412995,21071454
123,500000,0.020561317,21582090
124,500000,0.020487995,21582090
125,500000,0.020517523,21582090
126,500000,0.020508771,21582090
127,500000,0.020927913,21582090
128,500000,0.020603039,21582090
129,500000,0.020699657,21582090
130,500000,0.020585518,21582090
131,500000,0.020504387,21582090
132,500000,0.020488489,21582090
133,500000,0.020629256,21582090
134,500000,0.020924821,21582090
135,500000,0.020500675,21582090
136,500000,0.020512763,21582090
137,500000,0.020514333,21582090
138,500000,0.020526795,21582090
139,500000,0.020589077,21582090
140,500000,0.020704633,21582090
141,500000,0.020469007,21582090
142,500000,0.020582069,21582090
143,500000,0.020503189,21582090
144,500000,0.020477093,21582090
145,500000,0.020454469,21582090
146,500000,0.020536219,21582090
147,500000,0.020482267,21582090
148,500000,0.020488357,21582090
149,500000,0.020483853,21582090
150,500000,0.020505961,21582090
