S,Size,AvgTime,AvgComparisons
2,50000,0.002869121,718192
3,50000,0.002336663,718158
4,50000,0.002244549,718366
5,50000,0.002377365,718366
6,50000,0.002085015,727326
7,50000,0.002051251,728923
8,50000,0.001982851,728923
9,50000,0.001971715,728923
10,50000,0.002020303,728923
11,50000,0.002074295,728923
12,50000,0.001825209,759809
13,50000,0.001724991,769693
14,50000,0.001723017,769693
15,50000,0.001731487,769693
16,50000,0.001725263,769693
17,50000,0.001868331,769693
18,50000,0.001767027,769693
19,50000,0.001856075,769693
20,50000,0.001721433,769693
21,50000,0.001772054,769693
22,50000,0.001740393,769693
23,50000,0.001785013,769693
24,50000,0.001678437,832659
25,50000,0.001709461,881494
26,50000,0.001690149,881494
27,50000,0.001806587,881494
28,50000,0.001631076,881494
29,50000,0.001649531,881494
30,50000,0.001781209,881494
31,50000,0.001643417,881494
32,50000,0.001682687,881494
33,50000,0.001699045,881494
34,50000,0.001621569,881494
35,50000,0.001620129,881494
36,50000,0.001616241,881494
37,50000,0.001687552,881494
38,50000,0.001611283,881494
39,50000,0.001757155,881494
40,50000,0.001610635,881494
41,50000,0.001661741,881494
42,50000,0.001636871,881494
43,50000,0.001749205,881494
44,50000,0.001614901,881494
45,50000,0.001614571,881494
46,50000,0.001617399,881494
47,50000,0.001809415,881494
48,50000,0.001721889,924607
49,50000,0.001731657,1139764
50,50000,0.001838665,1139764
51,50000,0.001806043,1139764
52,50000,0.001727333,1139764
53,50000,0.001731733,1139764
54,50000,0.001762973,1139764
55,50000,0.001799213,1139764
56,50000,0.001877017,1139764
57,50000,0.001741391,1139764
58,50000,0.001728831,1139764
59,50000,0.001736553,1139764
60,50000,0.001727189,1139764
61,50000,0.001837259,1139764
62,50000,0.001772773,1139764
63,50000,0.001851941,1139764
64,50000,0.001779849,1139764
65,50000,0.001731171,1139764
66,50000,0.001855937,1139764
67,50000,0.001926217,1139764
68,50000,0.001724045,1139764
69,50000,0.001724755,1139764
70,50000,0.001843677,1139764
71,50000,0.001729017,1139764
72,50000,0.001726203,1139764
73,50000,0.001732389,1139764
74,50000,0.001735713,1139764
75,50000,0.001936035,1139764
76,50000,0.001770961,1139764
77,50000,0.001808701,1139764
78,50000,0.001736177,1139764
79,50000,0.001812619,1139764
80,50000,0.001880737,1139764
81,50000,0.001732353,1139764
82,50000,0.001789673,1139764
83,50000,0.001785959,1139764
84,50000,0.001883321,1139764
85,50000,0.001732187,1139764
86,50000,0.001818059,1139764
87,50000,0.001814981,1139764
88,50000,0.001819099,1139764
89,50000,0.001731861,1139764
90,50000,0.001719771,1139764
91,50000,0.001868315,1139764
92,50000,0.001763653,1139764
93,50000,0.001741173,1139764
94,50000,0.001734581,1139764
95,50000,0.001873933,1139764
96,50000,0.001735685,1139764
97,50000,0.001860801,1331476
98,50000,0.002177871,1702985
99,50000,0.001965653,1702985
100,50000,0.001889685,1702985
101,50000,0.001964055,1702985
102,50000,0.001994157,1702985
103,50000,0.002011949,1702985
104,50000,0.001896427,1702985
105,50000,0.002121403,1702985
106,50000,0.001918307,1702985
107,50000,0.001966543,1702985
108,50000,0.001915917,1702985
109,50000,0.001920669,1702985
110,50000,0.001915161,1702985
111,50000,0.001970173,1702985
112,50000,0.001913993,1702985
113,50000,0.001892461,1702985
114,50000,0.001906535,1702985
115,50000,0.001893369,1702985
116,50000,0.001917011,1702985
117,50000,0.001965529,1702985
118,50000,0.001905281,1702985
119,50000,0.001889811,1702985
120,50000,0.001917041,1702985
121,50000,0.001894663,1702985
122,50000,0.001937147,1702985
123,50000,0.002072393,1702985
124,50000,0.002051455,1702985
125,50000,0.001907205,1702985
126,50000,0.001919649,1702985
127,50000,0.001893073,1702985
128,50000,0.001988999,1702985
129,50000,0.001970463,1702985
130,50000,0.001891919,1702985
131,50000,0.001950155,1702985
132,50000,0.002091949,1702985
133,50000,0.001905491,1702985
134,50000,0.001887209,1702985
135,50000,0.001891565,1702985
136,50000,0.001890929,1702985
137,50000,0.001887441,1702985
138,50000,0.001893083,1702985
139,50000,0.001888683,1702985
140,50000,0.002005767,1702985
141,50000,0.001885291,1702985
142,50000,0.001921453,1702985
143,50000,0.001908491,1702985
144,50000,0.001913053,1702985
145,50000,0.001896825,1702985
146,50000,0.001920377,1702985
147,50000,0.002081255,1702985
148,50000,0.002078039,1702985
149,50000,0.001925341,1702985
150,50000,0.001972129,1702985
