S,Size,AvgTime,AvgComparisons
2,1000,0.000044394,8711
3,1000,0.000042934,8713
4,1000,0.000034334,8770
5,1000,0.000034616,8770
6,1000,0.000036014,8770
7,1000,0.000039650,8822
8,1000,0.000031424,9130
9,1000,0.000032080,9130
10,1000,0.000034288,9130
11,1000,0.000031860,9130
12,1000,0.000040184,9130
13,1000,0.000030214,9130
14,1000,0.000029568,9130
15,1000,0.000035800,9552
16,1000,0.000030128,10282
17,1000,0.000026656,10282
18,1000,0.000032348,10282
19,1000,0.000025464,10282
20,1000,0.000026018,10282
21,1000,0.000033442,10282
22,1000,0.000031884,10282
23,1000,0.000026290,10282
24,1000,0.000028612,10282
25,1000,0.000026634,10282
26,1000,0.000026150,10282
27,1000,0.000031606,10282
28,1000,0.000026526,10282
29,1000,0.000026538,10282
30,1000,0.000032096,10282
31,1000,0.000025608,12583
32,1000,0.000030284,13382
33,1000,0.000026664,13382
34,1000,0.000030396,13382
35,1000,0.000032732,13382
36,1000,0.000027824,13382
37,1000,0.000023328,13382
38,1000,0.000028840,13382
39,1000,0.000033958,13382
40,1000,0.000031406,13382
41,1000,0.000026654,13382
42,1000,0.000023878,13382
43,1000,0.000027300,13382
44,1000,0.000030154,13382
45,1000,0.000023974,13382
46,1000,0.000023132,13382
47,1000,0.000033448,13382
48,1000,0.000024192,13382
49,1000,0.000027512,13382
50,1000,0.000035234,13382
51,1000,0.000027986,13382
52,1000,0.000024226,13382
53,1000,0.000031620,13382
54,1000,0.000025440,13382
55,1000,0.000031032,13382
56,1000,0.000029600,13382
57,1000,0.000034592,13382
58,1000,0.000027778,13382
59,1000,0.000030094,13382
60,1000,0.000028272,13382
61,1000,0.000028820,13382
62,1000,0.000026684,16907
63,1000,0.000035774,20408
64,1000,0.000034006,20408
65,1000,0.000031646,20408
66,1000,0.000028484,20408
67,1000,0.000031468,20408
68,1000,0.000034068,20408
69,1000,0.000028078,20408
70,1000,0.000027090,20408
71,1000,0.000031178,20408
72,1000,0.000032434,20408
73,1000,0.000034404,20408
74,1000,0.000034606,20408
75,1000,0.000027416,20408
76,1000,0.000034504,20408
77,1000,0.000031338,20408
78,1000,0.000034478,20408
79,1000,0.000030146,20408
80,1000,0.000034556,20408
81,1000,0.000033440,20408
82,1000,0.000029954,20408
83,1000,0.000026922,20408
84,1000,0.000027768,20408
85,1000,0.000035930,20408
86,1000,0.000034832,20408
87,1000,0.000033306,20408
88,1000,0.000034470,20408
89,1000,0.000031612,20408
90,1000,0.000084644,20408
91,1000,0.000034956,20408
92,1000,0.000029214,20408
93,1000,0.000028342,20408
94,1000,0.000034428,20408
95,1000,0.000034676,20408
96,1000,0.000034870,20408
97,1000,0.000034500,20408
98,1000,0.000027690,20408
99,1000,0.000034544,20408
100,1000,0.000034002,20408
101,1000,0.000034024,20408
102,1000,0.000034666,20408
103,1000,0.000032278,20408
104,1000,0.000032390,20408
105,1000,0.000037242,20408
106,1000,0.000027732,20408
107,1000,0.000032436,20408
108,1000,0.000028870,20408
109,1000,0.000035256,20408
110,1000,0.000027352,20408
111,1000,0.000027964,20408
112,1000,0.000027054,20408
113,1000,0.000034734,20408
114,1000,0.000033932,20408
115,1000,0.000027036,20408
116,1000,0.000034156,20408
117,1000,0.000033608,20408
118,1000,0.000029430,20408
119,1000,0.000030378,20408
120,1000,0.000026984,20408
121,1000,0.000032472,20408
122,1000,0.000028088,20408
123,1000,0.000036650,20408
124,1000,0.000034508,20408
125,1000,0.000033756,35200
126,1000,0.000029912,35200
127,1000,0.000037580,35200
128,1000,0.000033494,35200
129,1000,0.000033822,35200
130,1000,0.000037218,35200
131,1000,0.000031546,35200
132,1000,0.000037902,35200
133,1000,0.000037974,35200
134,1000,0.000042488,35200
135,1000,0.000036784,35200
136,1000,0.000031232,35200
137,1000,0.000029482,35200
138,1000,0.000029254,35200
139,1000,0.000029556,35200
140,1000,0.000033984,35200
141,1000,0.000032678,35200
142,1000,0.000036016,35200
143,1000,0.000035198,35200
144,1000,0.000029468,35200
145,1000,0.000040048,35200
146,1000,0.000037050,35200
147,1000,0.000033414,35200
148,1000,0.000038766,35200
149,1000,0.000030872,35200
150,1000,0.000031312,35200
