S,Size,AvgTime,AvgComparisons
2,1000000,0.055003733,18670874
3,1000000,0.053913912,18670823
4,1000000,0.046732590,18723933
5,1000000,0.046449064,18723933
6,1000000,0.046720314,18723933
7,1000000,0.044895869,18817361
8,1000000,0.041621174,19068089
9,1000000,0.041396737,19068089
10,1000000,0.041470793,19068089
11,1000000,0.041612078,19068089
12,1000000,0.041544077,19068089
13,1000000,0.041637840,19068089
14,1000000,0.041554927,19068089
15,1000000,0.039522043,19882182
16,1000000,0.036625512,20217329
17,1000000,0.036709550,20217329
18,1000000,0.036775324,20217329
19,1000000,0.036357487,20217329
20,1000000,0.036631575,20217329
21,1000000,0.036464203,20217329
22,1000000,0.036878340,20217329
23,1000000,0.036504476,20217329
24,1000000,0.036386589,20217329
25,1000000,0.036357860,20217329
26,1000000,0.036323078,20217329
27,1000000,0.036470441,20217329
28,1000000,0.036727119,20217329
29,1000000,0.036486420,20217329
30,1000000,0.035671669,21593262
31,1000000,0.034229635,23175968
32,1000000,0.034309617,23175968
33,1000000,0.034371276,23175968
34,1000000,0.034349668,23175968
35,1000000,0.034337054,23175968
36,1000000,0.034484929,23175968
37,1000000,0.034357530,23175968
38,1000000,0.034383304,23175968
39,1000000,0.034429441,23175968
40,1000000,0.034297479,23175968
41,1000000,0.034306921,23175968
42,1000000,0.034309987,23175968
43,1000000,0.034440838,23175968
44,1000000,0.034376614,23175968
45,1000000,0.034643304,23175968
46,1000000,0.034382006,23175968
47,1000000,0.034217115,23175968
48,1000000,0.034332763,23175968
49,1000000,0.034472807,23175968
50,1000000,0.034372401,23175968
51,1000000,0.034521314,23175968
52,1000000,0.034405117,23175968
53,1000000,0.034342160,23175968
54,1000000,0.034317995,23175968
55,1000000,0.034525322,23175968
56,1000000,0.034338967,23175968
57,1000000,0.034437254,23175968
58,1000000,0.034369626,23175968
59,1000000,0.034393031,23175968
60,1000000,0.034861127,23175968
61,1000000,0.038943619,29641763
62,1000000,0.038561998,29884934
63,1000000,0.038465434,29884934
64,1000000,0.038474792,29884934
65,1000000,0.038634558,29884934
66,1000000,0.038416943,29884934
67,1000000,0.038554682,29884934
68,1000000,0.038432375,29884934
69,1000000,0.038601553,29884934
70,1000000,0.038832006,29884934
71,1000000,0.038612431,29884934
72,1000000,0.038631526,29884934
73,1000000,0.038572842,29884934
74,1000000,0.038459151,29884934
75,1000000,0.038487762,29884934
76,1000000,0.038461568,29884934
77,1000000,0.038653048,29884934
78,1000000,0.038503005,29884934
79,1000000,0.038529824,29884934
80,1000000,0.038406704,29884934
81,1000000,0.038480852,29884934
82,1000000,0.038504749,29884934
83,1000000,0.038485180,29884934
84,1000000,0.038474048,29884934
85,1000000,0.038436909,29884934
86,1000000,0.038434649,29884934
87,1000000,0.038470472,29884934
88,1000000,0.038467402,29884934
89,1000000,0.038375190,29884934
90,1000000,0.038393210,29884934
91,1000000,0.038377150,29884934
92,1000000,0.038461608,29884934
93,1000000,0.038427413,29884934
94,1000000,0.038481770,29884934
95,1000000,0.038522337,29884934
96,1000000,0.038411251,29884934
97,1000000,0.038638536,29884934
98,1000000,0.038441065,29884934
99,1000000,0.038455448,29884934
100,1000000,0.038454178,29884934
101,1000000,0.038475796,29884934
102,1000000,0.038522391,29884934
103,1000000,0.038416785,29884934
104,1000000,0.038583280,29884934
105,1000000,0.038477134,29884934
106,1000000,0.038536597,29884934
107,1000000,0.038617564,29884934
108,1000000,0.038613954,29884934
109,1000000,0.039513044,29884934
110,1000000,0.038834128,29884934
111,1000000,0.039859606,29884934
112,1000000,0.038775065,29884934
113,1000000,0.038585954,29884934
114,1000000,0.038844024,29884934
115,1000000,0.038744847,29884934
116,1000000,0.038824160,29884934
117,1000000,0.039395212,29884934
118,1000000,0.038597613,29884934
119,1000000,0.038519523,29884934
120,1000000,0.038509985,29884934
121,1000000,0.038448186,29884934
122,1000000,0.041294881,43144790
123,1000000,0.041557490,44169405
124,1000000,0.041479470,44169405
125,1000000,0.041606828,44169405
126,1000000,0.041629439,44169405
127,1000000,0.041576318,44169405
128,1000000,0.041518689,44169405
129,1000000,0.041423290,44169405
130,1000000,0.041907673,44169405
131,1000000,0.041613978,44169405
132,1000000,0.041876402,44169405
133,1000000,0.041498956,44169405
134,1000000,0.041492588,44169405
135,1000000,0.041723004,44169405
136,1000000,0.041546185,44169405
137,1000000,0.041582056,44169405
138,1000000,0.041414564,44169405
139,1000000,0.041536755,44169405
140,1000000,0.041544935,44169405
141,1000000,0.041829950,44169405
142,1000000,0.041441890,44169405
143,1000000,0.041555745,44169405
144,1000000,0.041441996,44169405
145,1000000,0.041431026,44169405
146,1000000,0.041449314,44169405
147,1000000,0.041527975,44169405
148,1000000,0.041493451,44169405
149,1000000,0.041538935,44169405
150,1000000,0.041477514,44169405
