S,Size,AvgTime,AvgComparisons
2,5000,0.000281094,55212
3,5000,0.000224626,55220
4,5000,0.000283428,55252
5,5000,0.000202870,55755
6,5000,0.000225484,55755
7,5000,0.000221108,55755
8,5000,0.000185786,55755
9,5000,0.000176536,56291
10,5000,0.000182794,58520
11,5000,0.000199286,58520
12,5000,0.000173264,58520
13,5000,0.000180094,58520
14,5000,0.000159108,58520
15,5000,0.000163412,58520
16,5000,0.000178293,58520
17,5000,0.000177690,58520
18,5000,0.000160596,58520
19,5000,0.000164120,62155
20,5000,0.000173912,66858
21,5000,0.000175006,66858
22,5000,0.000192294,66858
23,5000,0.000149746,66858
24,5000,0.000147728,66858
25,5000,0.000146434,66858
26,5000,0.000193286,66858
27,5000,0.000163970,66858
28,5000,0.000146324,66858
29,5000,0.000147332,66858
30,5000,0.000147466,66858
31,5000,0.000163470,66858
32,5000,0.000164862,66858
33,5000,0.000176668,66858
34,5000,0.000148170,66858
35,5000,0.000150832,66858
36,5000,0.000161012,66858
37,5000,0.000168930,66858
38,5000,0.000178280,66858
39,5000,0.000166370,85612
40,5000,0.000169648,86946
41,5000,0.000174864,86946
42,5000,0.000149348,86946
43,5000,0.000164824,86946
44,5000,0.000174891,86946
45,5000,0.000165370,86946
46,5000,0.000163498,86946
47,5000,0.000181410,86946
48,5000,0.000214604,86946
49,5000,0.000179766,86946
50,5000,0.000153638,86946
51,5000,0.000151558,86946
52,5000,0.000157982,86946
53,5000,0.000165234,86946
54,5000,0.000166978,86946
55,5000,0.000188444,86946
56,5000,0.000162548,86946
57,5000,0.000165480,86946
58,5000,0.000162038,86946
59,5000,0.000151066,86946
60,5000,0.000172934,86946
61,5000,0.000174066,86946
62,5000,0.000162452,86946
63,5000,0.000159740,86946
64,5000,0.000167438,86946
65,5000,0.000161256,86946
66,5000,0.000167996,86946
67,5000,0.000166036,86946
68,5000,0.000150714,86946
69,5000,0.000195007,86946
70,5000,0.000182242,86946
71,5000,0.000161300,86946
72,5000,0.000164682,86946
73,5000,0.000149796,86946
74,5000,0.000148704,86946
75,5000,0.000150068,86946
76,5000,0.000149192,86946
77,5000,0.000150496,86946
78,5000,0.000166478,124962
79,5000,0.000175848,130727
80,5000,0.000206048,130727
81,5000,0.000181764,130727
82,5000,0.000183732,130727
83,5000,0.000191490,130727
84,5000,0.000185876,130727
85,5000,0.000203137,130727
86,5000,0.000235282,130727
87,5000,0.000181022,130727
88,5000,0.000175188,130727
89,5000,0.000187022,130727
90,5000,0.000165266,130727
91,5000,0.000202372,130727
92,5000,0.000194836,130727
93,5000,0.000175246,130727
94,5000,0.000194767,130727
95,5000,0.000218118,130727
96,5000,0.000182606,130727
97,5000,0.000168806,130727
98,5000,0.000166904,130727
99,5000,0.000167360,130727
100,5000,0.000191180,130727
101,5000,0.000199186,130727
102,5000,0.000169204,130727
103,5000,0.000165654,130727
104,5000,0.000171894,130727
105,5000,0.000174664,130727
106,5000,0.000187777,130727
107,5000,0.000185816,130727
108,5000,0.000169722,130727
109,5000,0.000167560,130727
110,5000,0.000180266,130727
111,5000,0.000164040,130727
112,5000,0.000201306,130727
113,5000,0.000199572,130727
114,5000,0.000182266,130727
115,5000,0.000183688,130727
116,5000,0.000203264,130727
117,5000,0.000175996,130727
118,5000,0.000177982,130727
119,5000,0.000175098,130727
120,5000,0.000184062,130727
121,5000,0.000175060,130727
122,5000,0.000192030,130727
123,5000,0.000165960,130727
124,5000,0.000195998,130727
125,5000,0.000164338,130727
126,5000,0.000187028,130727
127,5000,0.000203654,130727
128,5000,0.000186018,130727
129,5000,0.000177502,130727
130,5000,0.000191580,130727
131,5000,0.000179356,130727
132,5000,0.000190730,130727
133,5000,0.000182282,130727
134,5000,0.000169186,130727
135,5000,0.000174326,130727
136,5000,0.000177290,130727
137,5000,0.000242396,130727
138,5000,0.000190832,130727
139,5000,0.000168148,130727
140,5000,0.000187814,130727
141,5000,0.000181762,130727
142,5000,0.000173164,130727
143,5000,0.000184766,130727
144,5000,0.000183644,130727
145,5000,0.000178892,130727
146,5000,0.000164258,130727
147,5000,0.000199090,130727
148,5000,0.000247718,130727
149,5000,0.000199866,130727
150,5000,0.000202968,130727
