S,Size,AvgTime,AvgComparisons
2,250000,0.013521020,4167850
3,250000,0.013101369,4167845
4,250000,0.011403660,4181306
5,250000,0.011378832,4181306
6,250000,0.011514704,4181306
7,250000,0.010956769,4204524
8,250000,0.010094759,4267139
9,250000,0.010076053,4267139
10,250000,0.010138858,4267139
11,250000,0.010287957,4267139
12,250000,0.010096575,4267139
13,250000,0.010257983,4267139
14,250000,0.010292201,4267139
15,250000,0.009414683,4470422
16,250000,0.008968366,4554815
17,250000,0.008802289,4554815
18,250000,0.008940248,4554815
19,250000,0.009218036,4554815
20,250000,0.008844684,4554815
21,250000,0.008790583,4554815
22,250000,0.008934694,4554815
23,250000,0.008811983,4554815
24,250000,0.009089639,4554815
25,250000,0.008858867,4554815
26,250000,0.008821219,4554815
27,250000,0.008812945,4554815
28,250000,0.009089161,4554815
29,250000,0.008786485,4554815
30,250000,0.008702543,4897690
31,250000,0.008427941,5292770
32,250000,0.008380972,5292770
33,250000,0.008315180,5292770
34,250000,0.008422262,5292770
35,250000,0.008375349,5292770
36,250000,0.008489307,5292770
37,250000,0.008568228,5292770
38,250000,0.008326890,5292770
39,250000,0.008309668,5292770
40,250000,0.008321768,5292770
41,250000,0.008464917,5292770
42,250000,0.008401171,5292770
43,250000,0.008627938,5292770
44,250000,0.008333204,5292770
45,250000,0.008460235,5292770
46,250000,0.008330328,5292770
47,250000,0.008376890,5292770
48,250000,0.008383768,5292770
49,250000,0.008436321,5292770
50,250000,0.008407675,5292770
51,250000,0.008422043,5292770
52,250000,0.008304284,5292770
53,250000,0.008356866,5292770
54,250000,0.008319148,5292770
55,250000,0.008304754,5292770
56,250000,0.008287226,5292770
57,250000,0.008293134,5292770
58,250000,0.008336060,5292770
59,250000,0.008427717,5292770
60,250000,0.008323140,5292770
61,250000,0.009487621,6907179
62,250000,0.009445521,6968334
63,250000,0.009417573,6968334
64,250000,0.009326619,6968334
65,250000,0.009334409,6968334
66,250000,0.009328627,6968334
67,250000,0.009344953,6968334
68,250000,0.009343891,6968334
69,250000,0.009331251,6968334
70,250000,0.009321010,6968334
71,250000,0.009341917,6968334
72,250000,0.009417987,6968334
73,250000,0.009377193,6968334
74,250000,0.009450965,6968334
75,250000,0.009411807,6968334
76,250000,0.009413433,6968334
77,250000,0.009339803,6968334
78,250000,0.009433947,6968334
79,250000,0.009352933,6968334
80,250000,0.009340274,6968334
81,250000,0.009438061,6968334
82,250000,0.009447972,6968334
83,250000,0.009419059,6968334
84,250000,0.009341316,6968334
85,250000,0.009368763,6968334
86,250000,0.009348243,6968334
87,250000,0.009373717,6968334
88,250000,0.009328824,6968334
89,250000,0.009500232,6968334
90,250000,0.009471842,6968334
91,250000,0.009429157,6968334
92,250000,0.009333413,6968334
93,250000,0.009517819,6968334
94,250000,0.009352530,6968334
95,250000,0.009344803,6968334
96,250000,0.009382489,6968334
97,250000,0.009666750,6968334
98,250000,0.009490673,6968334
99,250000,0.009570106,6968334
100,250000,0.009366711,6968334
101,250000,0.009467959,6968334
102,250000,0.009331096,6968334
103,250000,0.009582340,6968334
104,250000,0.009329356,6968334
105,250000,0.009354331,6968334
106,250000,0.009446069,6968334
107,250000,0.009357721,6968334
108,250000,0.009387199,6968334
109,250000,0.009741239,6968334
110,250000,0.009367085,6968334
111,250000,0.009453333,6968334
112,250000,0.009624706,6968334
113,250000,0.009330717,6968334
114,250000,0.009340286,6968334
115,250000,0.009426599,6968334
116,250000,0.009395375,6968334
117,250000,0.009350541,6968334
118,250000,0.009621714,6968334
119,250000,0.009364061,6968334
120,250000,0.009353593,6968334
121,250000,0.009338183,6968334
122,250000,0.010088051,10283943
123,250000,0.010140858,10537656
124,250000,0.010214259,10537656
125,250000,0.010127464,10537656
126,250000,0.010258364,10537656
127,250000,0.010258903,10537656
128,250000,0.010124958,10537656
129,250000,0.010141064,10537656
130,250000,0.010095014,10537656
131,250000,0.010138366,10537656
132,250000,0.010410711,10537656
133,250000,0.010243303,10537656
134,250000,0.010191144,10537656
135,250000,0.010232681,10537656
136,250000,0.010101448,10537656
137,250000,0.010109378,10537656
138,250000,0.010259521,10537656
139,250000,0.010128698,10537656
140,250000,0.010123203,10537656
141,250000,0.010118990,10537656
142,250000,0.010113679,10537656
143,250000,0.010141888,10537656
144,250000,0.010154998,10537656
145,250000,0.010437895,10537656
146,250000,0.010105598,10537656
147,250000,0.010106922,10537656
148,250000,0.010153501,10537656
149,250000,0.010248371,10537656
150,250000,0.010174849,10537656
